precision,dich_calls,gold_calls,fib_calls
0.1,80,16,15
0.01,80,21,20
0.001,80,26,24
0.0001,80,31,29
1e-05,80,35,34
1e-06,80,40,39
1e-07,80,45,44
1e-08,80,50,48
