precision,dich_calls,gold_calls,fib_calls
0.1,84,20,19
0.01,84,25,23
0.001,84,29,28
0.0001,84,34,33
1e-05,84,39,38
1e-06,84,44,42
1e-07,84,49,47
1e-08,84,53,52
