precision,dich_iters,gold_iters,fib_iters
0.1,41,17,15
0.01,41,21,20
0.001,41,26,25
0.0001,41,31,30
1e-05,41,36,34
1e-06,41,41,39
1e-07,41,45,44
1e-08,41,50,49
