precision,dich_iters,gold_iters,fib_iters
0.1,40,16,15
0.01,40,21,20
0.001,40,26,25
0.0001,40,31,29
1e-05,40,35,34
1e-06,40,40,39
1e-07,40,45,44
1e-08,40,50,48
