precision,dich_calls,gold_calls,fib_calls
0.1,68,8,6
0.01,68,13,11
0.001,68,17,16
0.0001,68,22,21
1e-05,68,27,26
1e-06,68,32,30
1e-07,68,36,35
1e-08,68,41,40
