precision,dich_iters,gold_iters,fib_iters
0.1,42,19,18
0.01,42,24,22
0.001,42,28,27
0.0001,42,33,32
1e-05,42,38,37
1e-06,42,43,41
1e-07,42,48,46
1e-08,42,52,51
