precision,dich_iters,gold_iters,fib_iters
0.1,14,20,18
0.01,17,24,23
0.001,20,29,28
0.0001,24,34,33
1e-05,27,39,37
1e-06,30,44,42
1e-07,34,48,47
1e-08,37,53,52
