precision,dich_iters,gold_iters,fib_iters
0.1,36,9,8
0.01,36,14,13
0.001,36,19,18
0.0001,36,24,22
1e-05,36,28,27
1e-06,36,33,32
1e-07,36,38,37
1e-08,36,43,41
