precision,dich_iters,gold_iters,fib_iters
0.1,11,15,14
0.01,14,20,19
0.001,17,25,23
0.0001,21,30,28
1e-05,24,34,33
1e-06,27,39,38
1e-07,31,44,43
1e-08,34,49,47
