precision,dich_iters,gold_iters,fib_iters
0.1,5,7,5
0.01,8,12,10
0.001,11,16,15
0.0001,15,21,20
1e-05,18,26,25
1e-06,21,31,29
1e-07,25,35,34
1e-08,28,40,39
