precision,dich_calls,gold_calls,fib_calls
0.1,10,8,6
0.01,16,13,11
0.001,22,17,16
0.0001,30,22,21
1e-05,36,27,26
1e-06,42,32,30
1e-07,50,36,35
1e-08,56,41,40
