precision,dich_iters,gold_iters,fib_iters
0.1,7,9,8
0.01,10,14,13
0.001,13,19,18
0.0001,17,24,22
1e-05,20,28,27
1e-06,23,33,32
1e-07,27,38,37
1e-08,30,43,41
