precision,dich_calls,gold_calls,fib_calls
0.1,20,16,15
0.01,28,21,19
0.001,34,25,24
0.0001,40,30,29
1e-05,48,35,34
1e-06,54,40,38
1e-07,60,45,43
1e-08,68,49,48
