precision,dich_calls,gold_calls,fib_calls
0.1,22,16,15
0.01,28,21,20
0.001,34,26,24
0.0001,42,31,29
1e-05,48,35,34
1e-06,54,40,39
1e-07,62,45,44
1e-08,68,50,48
