precision,dich_calls,gold_calls,fib_calls
0.1,78,16,14
0.01,78,21,19
0.001,78,25,24
0.0001,78,30,29
1e-05,78,35,34
1e-06,78,40,38
1e-07,78,44,43
1e-08,78,49,48
