precision,dich_calls,gold_calls,fib_calls
0.1,82,18,16
0.01,82,22,21
0.001,82,27,26
0.0001,82,32,31
1e-05,82,37,35
1e-06,82,42,40
1e-07,82,46,45
1e-08,82,51,50
