precision,dich_calls,gold_calls,fib_calls
0.1,24,18,16
0.01,30,22,21
0.001,36,27,26
0.0001,44,32,31
1e-05,50,37,35
1e-06,56,42,40
1e-07,64,46,45
1e-08,70,51,50
